,household_income_feeling,migration_want,planning_to_move12,prepared_to_move,why_no_leave
563,4,0,,,3
564,2,1,0.0,,7
565,3,0,,,
566,2,0,,,
567,4,0,,,
568,4,0,,,
569,2,1,1.0,0.0,
570,2,1,99.0,,
571,2,0,,,
572,2,0,,,
573,2,1,0.0,,
574,2,1,0.0,,3 1
575,3,1,0.0,,
576,2,1,0.0,,
577,3,0,,,
578,4,1,0.0,,2 7
579,2,0,,,
580,1,1,0.0,,3 4
581,4,0,,,1 4
582,2,0,,,
583,2,1,0.0,,3
584,4,0,,,
585,2,0,,,
586,3,0,,,
587,3,0,,,
588,4,0,,,
589,3,1,0.0,,
590,3,0,,,
591,2,0,,,
592,2,0,,,
593,2,0,,,7
594,2,0,,,
595,2,0,,,
596,4,0,,,
597,2,1,0.0,,
598,3,0,,,
599,3,0,,,
600,4,0,,,
601,3,0,,,
602,2,0,,,
603,2,0,,,
604,4,1,1.0,0.0,
605,2,0,,,
606,2,0,,,
607,2,0,,,
608,2,0,,,
609,2,0,,,
610,2,0,,,
611,2,1,0.0,,3 4
612,4,0,,,
613,2,1,1.0,1.0,
614,2,0,,,
615,2,0,,,
616,2,0,,,
617,2,0,,,
618,4,0,,,
619,4,0,,,
620,4,1,0.0,,
621,2,99,,,
622,2,0,,,
623,1,0,,,
624,1,0,,,
625,3,0,,,
626,2,0,,,
627,2,0,,,
628,2,0,,,
629,99,1,0.0,,8 7
630,2,1,1.0,0.0,
631,4,1,0.0,,8
632,2,1,0.0,,8
633,1,0,,,
634,3,1,0.0,,
635,3,1,0.0,,
636,3,0,,,
637,1,0,,,
638,1,0,,,
639,2,0,,,
640,1,0,,,
641,2,1,1.0,0.0,
642,4,0,,,1 2 3
643,3,0,,,
644,4,1,0.0,,1 2 3
645,1,0,,,
646,3,0,,,
647,2,0,,,
648,3,0,,,
649,3,0,,,
650,3,1,0.0,,3 4
651,3,99,,,
652,1,0,,,
653,1,99,,,
654,2,1,0.0,,
655,3,0,,,
656,2,1,0.0,,
657,1,1,0.0,,
658,2,0,,,
659,2,0,,,
660,2,0,,,
661,2,1,0.0,,
662,2,1,0.0,,
663,2,1,0.0,,7
664,3,0,,,
665,2,1,0.0,,
666,1,1,0.0,,
667,1,1,0.0,,
668,3,0,,,
669,2,1,0.0,,
670,1,1,0.0,,9
671,1,1,0.0,,
672,3,0,,,
673,3,1,0.0,,5
674,1,0,,,
675,2,1,0.0,,
676,4,99,,,
677,2,0,,,
678,3,0,,,
679,3,0,,,
680,2,0,,,
681,4,1,0.0,,3
682,4,0,,,
683,2,0,,,
684,2,0,,,3 4 5
685,2,0,,,7 3
686,2,0,,,
687,2,1,0.0,,
688,3,1,0.0,,
689,3,1,0.0,,3 4
690,4,1,0.0,,4
691,3,0,,,
692,4,0,,,
693,2,0,,,
694,3,1,0.0,,
695,2,0,,,
696,2,1,0.0,,
697,2,0,,,4
698,3,1,0.0,,4
699,4,0,,,
700,2,0,,,
701,1,1,0.0,,5 4
702,2,0,,,
703,2,0,,,
704,1,0,,,
705,2,1,0.0,,
706,2,1,0.0,,
707,3,1,0.0,,
708,2,1,0.0,,7
709,99,1,0.0,,
710,3,1,0.0,,2
711,1,1,1.0,1.0,
712,3,0,,,
713,3,0,,,1
714,3,0,,,
715,2,0,,,
716,2,0,,,
717,4,0,,,7
718,3,0,,,7
719,3,1,0.0,,7
720,1,0,,,
721,3,0,,,
722,2,1,0.0,,
723,3,0,,,
724,2,1,0.0,,4 3 2
725,1,0,,,
726,2,99,,,
727,2,0,,,
728,2,0,,,
729,3,0,,,3
730,2,1,0.0,,
731,1,1,0.0,,3
732,2,0,,,
733,2,0,,,
734,4,1,0.0,,
735,1,0,,,
736,4,1,0.0,,
737,4,1,0.0,,
738,4,1,0.0,,
739,3,1,0.0,,4
740,2,0,,,
741,2,0,,,
742,3,0,,,
743,3,0,,,
744,3,0,,,
745,2,0,,,
746,2,0,,,
747,3,1,0.0,,
748,3,1,0.0,,
749,4,0,,,
750,3,0,,,
751,2,0,,,
752,3,1,0.0,,3 4
753,2,0,,,
754,3,0,,,
755,2,1,0.0,,
756,2,0,,,
757,2,1,0.0,,
758,1,1,0.0,,
759,2,1,0.0,,
760,3,0,,,
761,2,1,1.0,0.0,
762,99,1,0.0,,
763,2,0,,,
764,3,1,1.0,0.0,
765,3,1,0.0,,
766,2,0,,,
767,3,0,,,3 4
768,2,0,,,
769,3,1,0.0,,
770,3,1,0.0,,
771,1,1,1.0,1.0,
772,2,1,0.0,,
773,1,0,,,
774,3,0,,,
775,3,0,,,
776,2,0,,,
777,2,1,0.0,,5
778,3,1,0.0,,3 9 4
779,1,1,0.0,,
780,3,1,0.0,,4
781,2,0,,,
782,2,0,,,
783,1,0,,,4
784,1,0,,,
785,2,0,,,
786,2,0,,,
787,1,1,0.0,,
788,1,0,,,
789,2,1,0.0,,3 5
790,2,1,0.0,,8
791,1,1,0.0,,
792,2,0,,,
793,4,0,,,
794,3,1,0.0,,
795,2,1,0.0,,
796,2,0,,,
797,1,0,,,
798,2,0,,,
799,2,1,0.0,,
800,2,0,,,
801,2,0,,,3 4
802,2,1,0.0,,3 4
803,2,0,,,
804,2,0,,,
805,3,0,,,
806,3,0,,,
807,4,0,,,
808,3,0,,,
809,2,1,1.0,0.0,3 4
810,2,1,1.0,0.0,
811,4,0,,,
812,4,0,,,
813,3,0,,,
814,4,1,0.0,,3
815,2,1,0.0,,
816,2,1,0.0,,
817,1,1,1.0,0.0,
818,2,0,,,
819,1,1,0.0,,
820,4,0,,,
821,2,0,,,
822,2,1,0.0,,
823,2,1,1.0,0.0,
824,3,0,,,
825,2,1,0.0,,
826,2,0,,,
827,4,0,,,
828,3,1,1.0,0.0,1 3
829,2,0,,,
830,2,0,,,
831,2,0,,,
832,2,1,0.0,,
833,2,0,,,
834,2,1,0.0,,7
835,2,0,,,
836,2,0,,,
837,2,1,0.0,,1 9
838,3,0,,,
839,2,1,0.0,,2 9 3
840,2,0,,,1 7 3
841,1,1,0.0,,8 7 1
842,2,0,,,
843,2,0,,,
844,2,0,,,
845,3,0,,,
846,2,0,,,
847,4,0,,,
848,4,0,,,
849,4,0,,,
850,4,1,0.0,,4
851,4,1,0.0,,
852,4,0,,,
853,2,0,,,
854,2,0,,,
855,2,0,,,
856,2,0,,,
857,1,1,0.0,,3 1
858,1,1,0.0,,
859,4,1,1.0,0.0,
860,4,0,,,
861,1,0,,,
862,3,0,,,
863,4,0,,,
864,1,0,,,
865,4,1,0.0,,9
866,4,1,0.0,,
867,2,1,0.0,,1 7 4
868,2,1,0.0,,
869,2,0,,,
870,2,1,0.0,,
871,2,0,,,
872,2,0,,,
873,4,1,0.0,,
874,2,1,0.0,,7
875,1,1,0.0,,
876,1,1,99.0,,
877,1,1,99.0,,
878,2,1,0.0,,
879,1,1,0.0,,
880,3,0,,,
881,3,0,,,
882,3,0,,,
883,2,0,,,
884,3,0,,,
885,2,1,0.0,,
886,4,0,,,
887,1,0,,,
888,99,0,,,
889,2,0,,,
890,2,0,,,
891,2,1,0.0,,
892,2,1,1.0,1.0,
893,1,0,,,
894,2,1,0.0,,
895,2,0,,,
896,3,0,,,
897,2,1,1.0,0.0,
898,2,1,99.0,,
899,1,0,,,
900,1,0,,,
901,4,1,0.0,,2 4
902,2,0,,,
903,2,0,,,
904,2,0,,,
905,2,0,,,
906,2,1,1.0,1.0,
907,2,0,,,
908,2,0,,,
909,2,0,,,
910,2,0,,,
911,3,0,,,
912,1,0,,,
913,3,0,,,
914,3,1,1.0,1.0,
915,2,0,,,
916,3,0,,,1 5
917,4,1,0.0,,
918,4,1,0.0,,
919,2,0,,,
920,2,0,,,
921,2,1,0.0,,7
922,2,0,,,
923,2,0,,,
924,2,0,,,
925,1,0,,,
926,3,0,,,
927,2,0,,,
928,4,0,,,
929,2,0,,,
930,1,0,,,
931,2,0,,,99
932,3,0,,,
933,3,0,,,
934,4,0,,,
935,2,0,,,
936,2,0,,,
937,4,0,,,
938,2,1,0.0,,
939,2,1,0.0,,
940,2,1,1.0,1.0,
941,2,1,1.0,0.0,
942,3,0,,,
943,2,0,,,
944,4,0,,,
945,3,0,,,
946,4,0,,,
947,2,0,,,
948,2,0,,,
949,2,1,0.0,,
950,2,0,,,
951,2,0,,,
952,3,0,,,
953,2,1,0.0,,
954,2,0,,,
955,2,0,,,
956,2,0,,,
957,2,1,0.0,,
958,2,1,0.0,,8
959,2,0,,,
960,1,1,0.0,,
961,2,1,0.0,,
962,1,0,,,
963,1,0,,,
964,1,1,0.0,,8
965,2,1,0.0,,
966,2,0,,,
967,1,0,,,
968,2,0,,,
969,4,0,,,
970,2,0,,,
971,2,0,,,3 1
972,3,0,,,
973,1,1,0.0,,
974,3,0,,,
975,2,1,0.0,,
976,2,1,0.0,,
977,3,0,,,
978,1,1,0.0,,
979,1,0,,,
980,1,0,,,
981,1,0,,,
982,3,0,,,
983,2,0,,,
984,2,0,,,
985,2,0,,,
986,3,1,0.0,,6 7
987,2,0,,,
988,4,1,0.0,,
989,3,0,,,
990,1,1,0.0,,7
991,4,1,0.0,,
992,2,1,0.0,,
993,2,1,0.0,,
994,4,0,,,
995,3,1,0.0,,
996,3,99,,,
997,4,1,0.0,,1 5
998,2,1,0.0,,99
999,3,0,,,
1000,3,1,0.0,,
1001,4,0,,,
1002,3,0,,,
1003,3,0,,,
1004,3,1,0.0,,1
1005,2,0,,,
1006,2,0,,,
1007,3,0,,,
1008,2,1,0.0,,
1009,2,1,1.0,1.0,
1010,2,1,1.0,1.0,
1011,1,1,0.0,,
1012,2,0,,,
1013,4,0,,,
1014,3,0,,,
1015,3,0,,,
1016,1,0,,,
1017,2,0,,,
1018,1,0,,,
1019,4,0,,,
1020,2,1,0.0,,
1021,2,1,1.0,0.0,4
1022,3,0,,,
1023,2,0,,,
1024,3,1,0.0,,
1025,2,1,0.0,,
1026,4,1,0.0,,
1027,2,1,0.0,,
1028,3,0,,,
1029,4,0,,,
1030,2,0,,,
1031,2,0,,,
1032,1,0,,,
1033,2,0,,,
1034,1,1,0.0,,1
1035,1,0,,,
1036,1,1,0.0,,
1037,3,1,0.0,,4
1038,1,99,,,8
1039,1,1,0.0,,
1040,2,1,0.0,,9
1041,99,1,0.0,,
1042,1,1,0.0,,3
1043,2,1,0.0,,
1044,4,0,,,
1045,3,0,,,
1046,3,0,,,
1047,4,0,,,
1048,4,1,1.0,0.0,
1049,4,0,,,
1050,2,0,,,
1051,4,0,,,
1052,4,0,,,
1053,1,1,0.0,,1 3 5
1054,1,0,,,
1055,2,0,,,
1056,3,0,,,
1057,3,1,0.0,,
1058,2,0,,,
1059,2,1,0.0,,
1060,2,0,,,
1061,2,0,,,
1062,2,0,,,
1063,2,0,,,
1064,2,1,0.0,,
1065,2,0,,,
1066,2,0,,,
1067,2,1,0.0,,
1068,3,1,0.0,,
1069,1,0,,,
1070,1,0,,,8
1071,1,0,,,
1072,3,1,0.0,,
1073,2,1,0.0,,
1074,2,1,0.0,,
1075,2,0,,,
1076,2,1,0.0,,
1077,2,0,,,
1078,2,1,0.0,,
1079,2,0,,,
1080,2,0,,,
1081,2,0,,,
1082,2,99,,,
1083,2,1,0.0,,7 3
1084,2,1,0.0,,
1085,2,1,0.0,,7
1086,3,1,0.0,,
1087,3,1,0.0,,
1088,3,1,0.0,,
1089,2,0,,,
1090,4,1,0.0,,
1091,3,1,0.0,,
1092,2,1,0.0,,
1093,2,1,0.0,,7
1094,4,1,0.0,,5 4
1095,1,0,,,
1096,1,1,0.0,,
1097,4,1,0.0,,
1098,4,1,0.0,,
1099,2,0,,,
1100,3,0,,,
1101,4,1,0.0,,
1102,2,0,,,
1103,2,0,,,
1104,4,0,,,
1105,4,0,,,3 4
1106,3,1,0.0,,3 4
1107,3,0,,,
1108,3,1,1.0,0.0,
1109,2,1,0.0,,
1110,3,0,,,
1111,2,0,,,
1112,2,1,0.0,,3
1113,1,1,1.0,0.0,1 3
1114,4,1,0.0,,
1115,3,0,,,
1116,4,0,,,
1117,4,1,0.0,,
1118,2,1,0.0,,3 4
1119,2,0,,,
1120,1,1,1.0,1.0,
1121,2,0,,,
1122,1,1,0.0,,
1123,1,0,,,
1124,2,0,,,
1125,4,0,,,
1126,99,99,,,
1127,4,0,,,
1128,2,0,,,
1129,3,0,,,
1130,2,1,0.0,,
1131,3,1,0.0,,
1132,2,1,0.0,,
1133,2,1,0.0,,
1134,3,0,,,
1135,2,1,0.0,,
1136,3,1,0.0,,
1137,3,1,0.0,,4
1138,4,1,0.0,,
1139,1,1,0.0,,
1140,1,1,0.0,,
1141,4,1,0.0,,1 3 5
1142,2,0,,,7 1 3
1143,3,0,,,
1144,3,0,,,
1145,4,0,,,
1146,4,0,,,
1147,3,1,0.0,,6
1148,2,1,0.0,,3 5
1149,3,1,0.0,,
1150,2,0,,,
1151,1,0,,,
1152,4,1,0.0,,
1153,2,1,0.0,,3 4
1154,2,1,0.0,,1 2 3
1155,3,1,0.0,,
1156,1,1,0.0,,9
1157,2,1,0.0,,
1158,2,0,,,
1159,99,1,0.0,,
1160,4,0,,,8 9
1161,3,1,0.0,,
1162,3,1,0.0,,1 2
1163,4,1,0.0,,
1164,2,1,0.0,,2
1165,2,1,0.0,,
1166,1,1,0.0,,
1167,2,0,,,
1168,2,1,0.0,,4 8
1169,3,1,0.0,,2 3
1170,3,0,,,
1171,2,1,0.0,,4 7
1172,2,1,0.0,,
1173,3,0,,,
1174,1,0,,,
1175,3,1,0.0,,4 5
1176,3,0,,,
1177,3,0,,,
1178,1,0,,,
1179,2,0,,,
1180,3,0,,,
1181,4,1,0.0,,4 3
1182,2,0,,,
1183,4,0,,,
1184,3,0,,,9
1185,2,1,0.0,,
1186,2,0,,,1 2
1187,4,0,,,
1188,3,0,,,3 4 6
1189,1,0,,,
1190,3,0,,,3 4
1191,2,0,,,
1192,4,1,0.0,,9 4
1193,4,1,0.0,,4
1194,3,1,0.0,,
1195,4,0,,,
1196,3,0,,,7 5 1
1197,3,0,,,
1198,1,0,,,
1199,2,0,,,
1200,1,0,,,
1201,2,0,,,
1202,2,1,0.0,,
1203,3,0,,,
1204,2,0,,,
1205,2,1,0.0,,
1206,2,1,0.0,,
1207,3,0,,,
1208,2,1,0.0,,
1209,4,0,,,
1210,2,1,0.0,,
1211,3,1,0.0,,
1212,2,1,0.0,,
1213,2,0,,,
1214,2,0,,,
1215,3,0,,,
1216,3,0,,,
1217,2,0,,,
1218,2,1,1.0,1.0,
1219,2,1,0.0,,3 4 8
1220,1,1,0.0,,
1221,4,1,0.0,,3 4 9
1222,2,1,0.0,,
1223,2,1,0.0,,
1224,3,0,,,
1225,2,1,0.0,,4 1
1226,2,1,0.0,,3 4
1227,2,1,0.0,,
1228,2,1,0.0,,4
1229,4,1,0.0,,4
1230,3,1,0.0,,
1231,2,0,,,
1232,2,0,,,
1233,2,0,,,
1234,2,1,0.0,,
1235,2,0,,,
1236,2,1,1.0,1.0,
1237,1,1,0.0,,
1238,1,0,,,
